# N u(x=0.25) u(x=0.5)
94 -0.0902761 0.231069
95 -0.0902567 0.231096
96 -0.0902377 0.231123
97 -0.0902563 0.23115
98 -0.0902745 0.231175
99 -0.0902567 0.231201
100 -0.0902392 0.231225
101 -0.0902563 0.23125
102 -0.0902732 0.231273
103 -0.0902567 0.231297
104 -0.0902405 0.23132
105 -0.0902564 0.231342
106 -0.0902719 0.231364
107 -0.0902566 0.231386
108 -0.0902416 0.231407
109 -0.0902564 0.231428
110 -0.0902709 0.231448
111 -0.0902566 0.231468
112 -0.0902427 0.231488
113 -0.0902564 0.231508
114 -0.0902699 0.231527
115 -0.0902566 0.231545
116 -0.0902436 0.231564
117 -0.0902564 0.231582
118 -0.090269 0.2316
119 -0.0902566 0.231617
120 -0.0902444 0.231634
121 -0.0902564 0.231651
122 -0.0902682 0.231668
123 -0.0902566 0.231684
124 -0.0902452 0.231701
125 -0.0902564 0.231716
126 -0.0902675 0.231732
127 -0.0902566 0.231747
128 -0.0902459 0.231763
129 -0.0902564 0.231777
130 -0.0902668 0.231792
131 -0.0902566 0.231807
132 -0.0902465 0.231821
133 -0.0902564 0.231835
134 -0.0902662 0.231849
135 -0.0902566 0.231862
136 -0.0902471 0.231876
137 -0.0902564 0.231889
138 -0.0902657 0.231902
139 -0.0902566 0.231915
140 -0.0902476 0.231928
141 -0.0902564 0.23194
142 -0.0902651 0.231952
143 -0.0902566 0.231964
144 -0.0902481 0.231976
145 -0.0902564 0.231988
146 -0.0902647 0.232
147 -0.0902566 0.232011
148 -0.0902485 0.232023
149 -0.0902565 0.232034
150 -0.0902643 0.232045
151 -0.0902566 0.232056
152 -0.090249 0.232067
153 -0.0902565 0.232077
154 -0.0902639 0.232088
155 -0.0902566 0.232098
156 -0.0902493 0.232108
157 -0.0902565 0.232118
158 -0.0902635 0.232128
159 -0.0902565 0.232138
160 -0.0902497 0.232148
161 -0.0902565 0.232157
162 -0.0902632 0.232167
163 -0.0902565 0.232176
164 -0.09025 0.232185
165 -0.0902565 0.232195
166 -0.0902628 0.232204
167 -0.0902565 0.232212
168 -0.0902503 0.232221
169 -0.0902565 0.23223
